ASIN,Price,Expected Result,Result
B0DDZ93PNZ,₹249.00,₹249.00,1
B0FJTLXP7P,₹449.00,₹449.00,1
B07C4Q6W6W,₹155.00,₹155.00,1
B075P747JW,₹449.00,₹449.00,1
B091SR284C,₹579.00,₹579.00,1
B075PFQ6ZB,₹769.00,₹769.00,1
B075P8Y4DK,₹1129.00,₹1129.00,1
B07GMVDTH1,₹1469.00,₹1469.00,1
B08151RD5R,₹1929.00,₹1929.00,1
B07CC98483,₹769.00,₹769.00,1
B07C4QCVGB,₹1199.00,₹1199.00,1
B08W9G6XWN,₹1769.00,₹1769.00,1
B07C4Q58LP,NA,₹319.00,0
B07CFWWT24,S,S,1
B07C4RD9TP,₹679.00,₹679.00,1
B08JCMBLW5,NA,₹239.00,0
B07C4LZ99B,₹309.96,₹309.96,1
B0FY2MP9HP,₹449.00,₹449.00,1
B0FY2M7MLR,₹199.00,₹199.00,1
B0FY2QCHHB,₹299.00,₹299.00,1
B0FY2RL9TS,₹318.93,₹318.93,1
B07C4SS7JR,₹199.00,₹199.00,1
B088MKL5WD,₹279.00,₹279.00,1
B07C54JQY4,₹349.00,₹349.00,1
B07C4T621P,₹199.00,₹199.00,1
B0FY2MT31L,₹299.00,₹299.00,1
B0FY2N2HH7,₹369.00,₹369.00,1
B0FY2M3JC2,₹199.00,₹199.00,1
B0FY2NFBC8,₹299.00,₹299.00,1
B0FY2M7TC4,₹369.00,₹369.00,1
B0FY2RLVRX,₹173.13,₹173.13,1
B0FY2NC7ML,₹249.00,₹249.00,1
B0FY2S6ZQ6,₹299.00,₹299.00,1
B0FY2N49LC,₹199.00,₹199.00,1
B0G39R8687,₹289.00,₹289.00,1
B0G39XDH93,₹369.00,₹369.00,1
B088MLZPKX,₹709.75,₹709.75,1
B0DV9XVN6T,₹279.00,₹279.00,1
B0D6GY1CB1,₹229.00,₹229.00,1
B0D6GXT381,₹329.00,₹329.00,1
B0D6HBQN79,₹429.00,₹429.00,1
B07KDGMRWR,S,S,1
B07KDH5PNZ,₹999.00,₹999.00,1
B07MGHSJ4W,₹1299.00,₹1299.00,1
B07KDH52D5,₹749.00,₹749.00,1
B07MMNP9TX,₹1179.00,₹1179.00,1
B07M85WTTK,₹1629.00,₹1629.00,1
B0F19FKP99,₹829.00,₹829.00,1
B0F19F7JRP,₹1149.00,₹1149.00,1
B0F19FT161,₹1599.00,₹1599.00,1
B08183V2R6,₹590.06,₹590.06,1
B09SPXLCHY,₹729.00,₹729.00,1
B08VNKXBDW,₹999.00,₹999.00,1
B08H8R5K8W,₹1629.00,₹1629.00,1
B07KDHSW47,₹2499.00,₹2499.00,1
B0GJ4BD52R,S,S,1
B0GJ4724L4,₹949.00,₹949.00,1
B081ZW5HF8,₹329.00,₹329.00,1
B09CD8J23M,₹999.00,₹999.00,1
B0GQZKRD5L,NA,NA,1
B09R9GQFXN,₹349.00,₹349.00,1
B09925GCJN,₹349.00,₹349.00,1
B0F1NJC6TZ,₹199.00,₹199.00,1
B0D6GXZHVN,₹299.00,₹299.00,1
B0CT78JBL9,₹329.00,₹329.00,1
B09D85TPSZ,₹169.00,₹169.00,1
B0F5QZM943,₹279.00,₹279.00,1
B0FF9N11C8,₹399.00,₹399.00,1
B0FS73HWRC,₹599.00,₹599.00,1
B0FS72J183,₹729.00,₹729.00,1
B0F23QL171,₹152.64,₹152.64,1
B0F5RTJ8YW,₹399.00,₹399.00,1
B0CHK2V4ZW,₹599.00,₹599.00,1
B0F5RKTWRX,₹699.00,₹699.00,1
B091L889HH,₹599.00,₹599.00,1
B0FS6YM759,₹151.00,₹151.00,1
B0CHFGMZZF,₹151.00,₹151.00,1
B0DDXK23RF,₹159.00,₹159.00,1
B0F8B5YM4D,₹269.00,₹269.00,1
B0CHFH35SQ,₹161.00,₹161.00,1
B0CHFGPZQ9,₹169.00,₹169.00,1
B0CHFM8QY9,₹179.00,₹179.00,1
B0CHK33458,₹199.00,₹199.00,1
B0CHFNRQ37,₹179.00,₹179.00,1
B0CHK2BXF5,₹179.00,₹179.00,1
B09J1CYM22,₹189.00,₹189.00,1
B0CGLL7RNB,₹199.00,₹199.00,1
B08X7BK8B5,₹299.00,₹299.00,1
B08Z85CG7B,₹399.00,₹399.00,1
B08Z7T2G3X,₹319.00,₹319.00,1
B09FK8CZT1,₹499.00,₹499.00,1
B08Z79R4M7,₹549.00,₹549.00,1
B08Z7CGQ5V,₹579.00,₹579.00,1
B0CGLNVM9L,₹629.00,₹629.00,1
B096RQFRKJ,S,S,1
B09KCCTHTW,₹399.00,₹399.00,1
B09KCF53H2,₹730.54,₹730.54,1
B0FY2XQNFN,₹379.00,₹379.00,1
B0FY2ZWZ7F,NA,NA,1
B09KCBCB76,NA,NA,1
B0FF4M5N9X,₹179.00,₹179.00,1
B0CGLPC2M5,NA,NA,1
B0D8W7YBMQ,NA,NA,1
B09SQ3NSJ1,₹299.00,₹299.00,1
B0DTYR8P29,₹269.00,₹269.00,1
B0DRV7XXJL,₹729.00,₹729.00,1
B0CMV8P33C,₹379.00,₹379.00,1
B0CMV6G924,₹399.00,₹399.00,1
B0CMV87NQW,₹399.00,₹399.00,1
B088MK8CPW,₹399.00,₹399.00,1
B088MLCRP6,₹399.00,₹399.00,1
B08R3ZYHDJ,₹379.00,₹379.00,1
B0D8B299CG,₹199.00,₹199.00,1
B0FJTDSTNT,₹429.00,₹429.00,1
B0F92PS54L,₹329.00,₹329.00,1
B0F92RNPYF,₹349.00,₹349.00,1
B0F92RHGD1,₹279.00,₹279.00,1
B0F92RXDZH,₹239.00,₹239.00,1
B0F92R5BXW,₹249.00,₹249.00,1
B0F92QN4T8,₹299.00,₹299.00,1
B0F99M2DY8,₹179.00,₹179.00,1
B0F99MXBX5,₹189.00,₹189.00,1
B0D8B192JM,₹299.00,₹299.00,1
B0F5QX5V57,₹299.00,₹299.00,1
B0F5RF3WCJ,₹329.00,₹329.00,1
B0FF4PS9B3,NA,NA,1
B0FKMM4KQ7,₹249.00,₹249.00,1
B0FLQ958RP,₹249.00,₹249.00,1
B0DRV5L8GC,NA,₹679.00,0
B0CHRJK8KN,₹299.00,₹299.00,1
B0CHRJDXMB,₹529.00,₹529.00,1
B09DW123LR,₹629.00,₹629.00,1
B0F8C5TFVN,NA,NA,1
B0DV9YRPTV,₹999.00,₹999.00,1
B0FKVKW29D,NA,NA,1
B0CRF7Z1J5,NA,NA,1
B09S3TJTC3,NA,NA,1
B09S3SHCTB,NA,NA,1
B09LYYQJ3L,NA,NA,1
B09DVZNT87,NA,NA,1
B0D7HZHGQT,₹269.00,₹269.00,1
B0CG5X1XCQ,₹549.00,₹549.00,1
B0F5WFQ4C9,₹799.00,₹799.00,1
B088MKDKLV,₹329.00,₹329.00,1
B0FF4B4N19,S,S,1
B0F8HYF5CH,S,S,1
B0FRGDSHD5,NA,NA,1
B0FRGJWHJ7,₹699.00,NA,0
B08ZYDM1TL,S,S,1
B093Q8TMTL,S,S,1
B09DVJ9VN8,₹179.00,₹179.00,1
B0FKVBW4CG,S,S,1
B0FJT8JWRP,NA,NA,1
B0FKVJ9G82,NA,NA,1
B0FY2RPQ83,NA,NA,1
B0GP19PSKR,NA,NA,1
B0GP16W92H,NA,NA,1
B0GXK4XDCZ,NA,NA,1
B0GXJSYFYR,NA,NA,1
B0GXJXMWGQ,NA,NA,1
B0GXJRHC1Y,NA,NA,1
B0GL8P55QF,₹84.00,₹84.00,1
B0GFX46KRW,₹229.00,₹229.00,1
B0GPWJCX49,₹179.00,₹179.00,1
B0GPVTB1D5,₹179.00,₹179.00,1
B0GPX13BQ3,₹179.00,₹179.00,1
B0GX1NSC42,₹299.00,₹299.00,1
B0GYX496HC,₹199.00,₹199.00,1
